genome.genome_id	genome.genome_name	genome.antimicrobial_resistance	genome.antimicrobial_resistance_evidence
573.22075	Klebsiella pneumoniae strain EuSCAPE_ES262	Susceptible	AMR Panel
573.22076	Klebsiella pneumoniae strain EuSCAPE_ES278	Susceptible	AMR Panel
573.22077	Klebsiella pneumoniae strain EuSCAPE_ES277	Susceptible	AMR Panel
573.22078	Klebsiella pneumoniae strain EuSCAPE_ES283	Susceptible	AMR Panel
573.22079	Klebsiella pneumoniae strain EuSCAPE_ES286	Susceptible	AMR Panel
573.22080	Klebsiella pneumoniae strain EuSCAPE_ES285	Susceptible	AMR Panel
573.22081	Klebsiella pneumoniae strain EuSCAPE_ES287	Susceptible	AMR Panel
573.22082	Klebsiella pneumoniae strain EuSCAPE_ES288	Susceptible	AMR Panel
573.22083	Klebsiella pneumoniae strain EuSCAPE_ES289	Susceptible	AMR Panel
573.22084	Klebsiella pneumoniae strain EuSCAPE_ES291	Susceptible	AMR Panel
573.22085	Klebsiella pneumoniae strain EuSCAPE_ES293	Susceptible	AMR Panel
573.22086	Klebsiella pneumoniae strain EuSCAPE_ES263	Susceptible	AMR Panel
573.22087	Klebsiella pneumoniae strain EuSCAPE_ES290	Susceptible	AMR Panel
573.22088	Klebsiella pneumoniae strain EuSCAPE_LU001	Susceptible	AMR Panel
573.22089	Klebsiella pneumoniae strain EuSCAPE_ES292	Susceptible	AMR Panel
573.22090	Klebsiella pneumoniae strain EuSCAPE_LU002	Susceptible::Resistant	Computational Prediction
573.22091	Klebsiella pneumoniae strain EuSCAPE_LU003	Susceptible::Resistant	Computational Prediction
573.22092	Klebsiella pneumoniae strain EuSCAPE_HR107	Resistant::Susceptible	Computational Prediction
573.22093	Klebsiella pneumoniae strain EuSCAPE_HR108	Susceptible::Resistant	Computational Prediction
573.22094	Klebsiella pneumoniae strain EuSCAPE_GR006	Susceptible	AMR Panel
573.22095	Klebsiella pneumoniae strain EuSCAPE_MK006	Susceptible	AMR Panel
573.22096	Klebsiella pneumoniae strain EuSCAPE_GR009	Susceptible::Resistant	Computational Prediction
573.22369	Klebsiella pneumoniae strain CRK0161	Resistant::Susceptible	Computational Prediction
573.22370	Klebsiella pneumoniae strain CRK0159	Resistant::Susceptible	Computational Prediction
573.22371	Klebsiella pneumoniae strain CRK0158	Susceptible::Resistant	Computational Prediction
573.22372	Klebsiella pneumoniae strain CRK0150	Susceptible::Resistant	Computational Prediction
573.22373	Klebsiella pneumoniae strain CRK0130	Resistant::Susceptible	Computational Prediction
573.22374	Klebsiella pneumoniae strain CRK0184	Resistant::Susceptible	Computational Prediction
573.22375	Klebsiella pneumoniae strain CRK0135	Susceptible::Resistant	Computational Prediction
