genome.genome_id	genome_drug.genome_id	genome_drug.antibiotic	genome_drug.resistant_phenotype
1087440.10	1087440.10	aztreonam	
1087440.10	1087440.10	ceftazidime	
1087440.10	1087440.10	cefazolin	
1087440.10	1087440.10	chloramphenicol	
1087440.10	1087440.10	ciprofloxacin	
1087440.10	1087440.10	ceftriaxone	
1087440.10	1087440.10	colistin	
1087440.10	1087440.10	cefotaxime	
1087440.10	1087440.10	cefotaxime/clavulanic acid	
1087440.10	1087440.10	cefuroxime	
1087440.10	1087440.10	doripenem	
1087440.10	1087440.10	ertapenem	
1087440.10	1087440.10	cefepime	
1087440.10	1087440.10	fosfomycin	
1087440.10	1087440.10	cefoxitin	
1087440.10	1087440.10	gentamicin	
1087440.10	1087440.10	imipenem	
1087440.10	1087440.10	levofloxacin	
1087440.10	1087440.10	meropenem	
1087440.10	1087440.10	minocycline	
1087440.10	1087440.10	nitrofurantoin	
1087440.10	1087440.10	ampicillin/sulbactam	
1087440.10	1087440.10	tetracycline	
1087440.10	1087440.10	tigecycline	
1087440.10	1087440.10	tobramycin	
1087440.10	1087440.10	piperacillin/tazobactam	
1087440.10	1087440.10	polymyxin B	
1087440.10	1087440.10	trimethoprim/sulfamethoxazole	
1087440.11	1087440.11	amoxicillin/clavulanic acid	
1087440.11	1087440.11	amikacin	
1087440.11	1087440.11	ampicillin	
1087440.11	1087440.11	aztreonam	
1087440.11	1087440.11	ceftazidime	
1087440.11	1087440.11	cefazolin	
1087440.11	1087440.11	chloramphenicol	
1087440.11	1087440.11	ciprofloxacin	
1087440.11	1087440.11	ceftriaxone	
1087440.11	1087440.11	colistin	
1087440.11	1087440.11	cefotaxime	
1087440.11	1087440.11	cefotaxime/clavulanic acid	
1087440.11	1087440.11	cefuroxime	
1087440.11	1087440.11	doripenem	
1087440.11	1087440.11	ertapenem	
1087440.11	1087440.11	cefepime	
1087440.11	1087440.11	fosfomycin	
1087440.11	1087440.11	cefoxitin	
1087440.11	1087440.11	gentamicin	
1087440.11	1087440.11	imipenem	
1087440.11	1087440.11	levofloxacin	
1087440.11	1087440.11	meropenem	
1087440.11	1087440.11	minocycline	
1087440.11	1087440.11	nitrofurantoin	
1087440.11	1087440.11	ampicillin/sulbactam	
1087440.11	1087440.11	tetracycline	
1087440.11	1087440.11	tigecycline	
1087440.11	1087440.11	tobramycin	
1087440.11	1087440.11	piperacillin/tazobactam	
1087440.11	1087440.11	polymyxin B	
1087440.11	1087440.11	trimethoprim/sulfamethoxazole	
1087440.12	1087440.12	amoxicillin/clavulanic acid	
1087440.12	1087440.12	amikacin	
1087440.12	1087440.12	ampicillin	
1087440.12	1087440.12	aztreonam	
1087440.12	1087440.12	ceftazidime	
1087440.12	1087440.12	cefazolin	
1087440.12	1087440.12	chloramphenicol	
1087440.12	1087440.12	ciprofloxacin	
1087440.12	1087440.12	ceftriaxone	
1087440.12	1087440.12	colistin	
1087440.12	1087440.12	cefotaxime	
1087440.12	1087440.12	cefotaxime/clavulanic acid	
1087440.12	1087440.12	cefuroxime	
1087440.12	1087440.12	doripenem	
1087440.12	1087440.12	ertapenem	
1087440.12	1087440.12	cefepime	
1087440.12	1087440.12	fosfomycin	
1087440.12	1087440.12	cefoxitin	
1087440.12	1087440.12	gentamicin	
1087440.12	1087440.12	imipenem	
1087440.12	1087440.12	levofloxacin	
1087440.12	1087440.12	meropenem	
1087440.12	1087440.12	minocycline	
1087440.12	1087440.12	nitrofurantoin	
1087440.12	1087440.12	ampicillin/sulbactam	
1087440.12	1087440.12	tetracycline	
1087440.12	1087440.12	tigecycline	
1087440.12	1087440.12	tobramycin	
1087440.12	1087440.12	piperacillin/tazobactam	
1087440.12	1087440.12	polymyxin B	
1087440.12	1087440.12	trimethoprim/sulfamethoxazole	
1087440.3	1087440.3	amoxicillin/clavulanic acid	
1087440.3	1087440.3	amikacin	
1087440.3	1087440.3	ampicillin	
1087440.3	1087440.3	aztreonam	
1087440.3	1087440.3	ceftazidime	
1087440.3	1087440.3	cefazolin	
1087440.3	1087440.3	chloramphenicol	
1087440.3	1087440.3	ciprofloxacin	
1087440.3	1087440.3	ceftriaxone	
1087440.3	1087440.3	colistin	
1087440.3	1087440.3	cefotaxime	
1087440.3	1087440.3	cefotaxime/clavulanic acid	
1087440.3	1087440.3	cefuroxime	
1087440.3	1087440.3	doripenem	
1087440.3	1087440.3	ertapenem	
1087440.3	1087440.3	cefepime	
1087440.3	1087440.3	fosfomycin	
1087440.3	1087440.3	cefoxitin	
1087440.3	1087440.3	gentamicin	
1087440.3	1087440.3	imipenem	
1087440.3	1087440.3	levofloxacin	
1087440.3	1087440.3	meropenem	
1087440.3	1087440.3	minocycline	
1087440.3	1087440.3	nitrofurantoin	
1087440.3	1087440.3	ampicillin/sulbactam	
1087440.3	1087440.3	tetracycline	
1087440.3	1087440.3	tigecycline	
1087440.3	1087440.3	tobramycin	
1087440.3	1087440.3	piperacillin/tazobactam	
1087440.3	1087440.3	ciprofloxacin	
1087440.3	1087440.3	ceftriaxone	
1087440.3	1087440.3	levofloxacin	
1087440.3	1087440.3	amoxicillin/clavulanic acid	
1087440.3	1087440.3	piperacillin/tazobactam	
1087440.3	1087440.3	aztreonam	
1087440.3	1087440.3	rifampin	
1087440.3	1087440.3	tobramycin	
1087440.3	1087440.3	cefoxitin	
1087440.3	1087440.3	amikacin	
1087440.3	1087440.3	imipenem	
1087440.3	1087440.3	gentamicin	
1087440.3	1087440.3	cefepime	
1087440.3	1087440.3	cefotaxime	
1087440.3	1087440.3	ertapenem	
1087440.3	1087440.3	meropenem	
1087440.3	1087440.3	ceftazidime	
1087440.3	1087440.3	tetracycline	
1087440.3	1087440.3	ampicillin	
1087440.3	1087440.3	cefazolin	
1087440.3	1087440.3	trimethoprim/sulfamethoxazole	
1087440.3	1087440.3	polymyxin B	
1087440.3	1087440.3	trimethoprim/sulfamethoxazole	
1087441.3	1087441.3	amoxicillin/clavulanic acid	
1087441.3	1087441.3	amikacin	
1087441.3	1087441.3	ampicillin	
1087441.3	1087441.3	aztreonam	
1087441.3	1087441.3	ceftazidime	
1087441.3	1087441.3	cefazolin	
1087441.3	1087441.3	chloramphenicol	
1087441.3	1087441.3	ciprofloxacin	
1087441.3	1087441.3	ceftriaxone	
1087441.3	1087441.3	colistin	
1087441.3	1087441.3	cefotaxime	
1087441.3	1087441.3	cefotaxime/clavulanic acid	
1087441.3	1087441.3	cefuroxime	
1087441.3	1087441.3	doripenem	
1087441.3	1087441.3	ertapenem	
1087441.3	1087441.3	cefepime	
1087441.3	1087441.3	fosfomycin	
1087441.3	1087441.3	cefoxitin	
1087441.3	1087441.3	gentamicin	
1087441.3	1087441.3	imipenem	
1087441.3	1087441.3	levofloxacin	
1087441.3	1087441.3	meropenem	
1087441.3	1087441.3	minocycline	
1087441.3	1087441.3	nitrofurantoin	
1087441.3	1087441.3	ampicillin/sulbactam	
1087441.3	1087441.3	tetracycline	
1087441.3	1087441.3	tigecycline	
1087441.3	1087441.3	tobramycin	
1087441.3	1087441.3	piperacillin/tazobactam	
1087441.3	1087441.3	tigecycline	
1087441.3	1087441.3	ceftriaxone	
1087441.3	1087441.3	tetracycline	
1087441.3	1087441.3	meropenem	
1087441.3	1087441.3	imipenem	
1087441.3	1087441.3	cefoxitin	
1087441.3	1087441.3	amoxicillin/clavulanic acid	
1087441.3	1087441.3	gentamicin	
1087441.3	1087441.3	ertapenem	
1087441.3	1087441.3	cefazolin	
1087441.3	1087441.3	piperacillin/tazobactam	
1087441.3	1087441.3	tobramycin	
1087441.3	1087441.3	aztreonam	
1087441.3	1087441.3	ampicillin	
1087441.3	1087441.3	trimethoprim/sulfamethoxazole	
1087441.3	1087441.3	amikacin	
